productName,Sales Description,SKU,Type,Sales Price / Rate,Income Account,Purchase Description,Purchase Cost,Expense Account,Quantity on Hand,Reorder Point,Inventory Asset Account,Quantity as-of Date
Eggplant Long Green Per Lb,-672094,FP1001,Inventory,,,20-Lb,,,,,,
Eggplant Thai Per Lb, - 672095,FP1002,Inventory,,,30-Lb,,,,,,
Eggplant Graffiti Small Per Lb, - 672089,FP1003,Inventory,,,30-Lb,,,,,,
Eggplant Indian Per Lb,Eggplant indian Mexico - 672090,FP1004,Inventory,,,30-Lb,,,,,,
Eggplant Chinese Per Lb, - 672037,FP1005,Inventory,,,30-Lb,,,,,,
Eggplant Italian Per Lb,TBD -Eggplant- Italian Mexico - 672093,FP1006,Inventory,,,25-Lb,,,,,,
Eggplant American Ea,Eggplant 24 CT - 672035,FP1007,Inventory,,,24-Ea,,,,,,
Coconut Young Ea,TBD -Coconut Young 9s Thailand/ Coconut Fresh Thai 9 Pcs - 672021,FP1008,Inventory,,,9-Ea,,,,,,
Coconut Ea,TBD -Coconut Brown Mexico - 672013,FP1009,Inventory,,,20-Ea,,,,,,
Coconut Green Ea,TBD -Coconut Green Mexico - 672020,FP1010,Inventory,,,6-Ea,,,,,,
Coconut Dry Ea, - 672019,FP1011,Inventory,,,20-Ea,,,,,,
Onion Red Per Lb, - ,FP1012,Inventory,,,NP,,,,,,
Onion Yellow Per Lb, - ,FP1013,Inventory,,,NP,,,,,,
Onion White Per Lb,TBD -Onion White Med 50# - ,FP1014,Inventory,,,NP,,,,,,
Onion Shallot Per Lb, - 671929,FP1015,Inventory,,,40-Lb,,,,,,
Onion Yellow Bag 50Lb Ea,50 LB Yellow Onions Med - 671933,FP1016,Inventory,,,1-Ea,,,,,,
Onion Red Bag 50Lb Ea,40LB Red Onion/ Red onion JBO - 671925,FP1017,Inventory,,,1-Ea,,,,,,
Onion Red Bag 25Lb Ea,"25 LB Red Onion, Med - 671926",FP1018,Inventory,,,1-Ea,,,,,,
Onion Pearl Red Ea, - 671922,FP1019,Inventory,,,12-Ea,,,,,,
Potato Red Big Per Lb,TBD - Potato Red - 671995,FP1020,Inventory,,,50-Lb,,,,,,
Potato White Big Per Lb,White Potato A - 672017,FP1021,Inventory,,,50-Lb,,,,,,
Potato Russet Per Lb,TBD - Potato 40s/90s - 672611,FP1022,Inventory,,,50-Lb,,,,,,
Potato Russet 5Lb Ea,TBD -Potato 10-5# - 672012,FP1023,Inventory,,,10-Ea,,,,,,
Potato Russet 10Lb Ea,TBD -Potato 5-10# - 672011,FP1024,Inventory,,,5-Ea,,,,,,
Mango Green Lb, - 671881,FP1025,Inventory,,,50-Lb,,,,,,
Arbi/Taro Small Per Lb,Taro Baby/ EDO Malanga 30 LB - 672073,FP1026,Inventory,,,40-Lb,,,,,,
Lime Ea,TBD -Lime 175s Mexico/ Mexican Limes 230 CT Fancy - 671875,FP1027,Inventory,,,200-Ea,,,,,,
Lemon Ea,TBD -Lemon 140s mexico/ lemon 115s - 671874,FP1028,Inventory,,,115-Ea,,,,,,
Okra India Per Lb, - 671916,FP1029,Inventory,,,13-Lb,,,,,,
Okra Regular Per Lb, - 671917,FP1030,Inventory,,,13-Lb,,,,,,
Ram Tori Per Lb,TBD -Patora Mexico/ TBD -Squash Moap 30 LBS - 672092,FP1031,Inventory,,,30-Lb,,,,,,
Karela Per Lb,TBD -Bittermelon- Indian Mexico - 671817,FP1032,Inventory,,,30-Lb,,,,,,
Tindora Per Lb, - 672109,FP1033,Inventory,,,30-Lb,,,,,,
Carrot Baby Pack Ea, - 671958,FP1034,Inventory,,,30-Ea,,,,,,
Carrot Jumbo Per Lb,TBD -Carrot 25# Mexico - 671960,FP1035,Inventory,,,25-Lb,,,,,,
Cabbage Per Lb,TBD -Cabbage Green - 671903,FP1036,Inventory,,,50-Lb,,,,,,
Cauliflower Ea, - 671969,FP1037,Inventory,,,12-Ea,,,,,,
Bean Green Per Lb,TBD -Green Bean Mexico - 671845,FP1038,Inventory,,,30-Lb,,,,,,
Bean Long (Dark Green) Per Lb,TBD -Green Bean- Long Mexico - 671848,FP1039,Inventory,,,30-Lb,,,,,,
Lettuce Ea,TBD -Lettuce Wrap 24s - 671876,FP1040,Inventory,,,24-Ea,,,,,,
Bean Guvar Per Lb, - 671847,FP1041,Inventory,,,25-Lb,,,,,,
Parval Per Lb, - 672091,FP1042,Inventory,,,30-Lb,,,,,,
Mushroom Box,TBD -Mushroom Cello - 671911,FP1043,Inventory,,,12-Ea,,,,,,
Drumsticks Per Lb, - 672081,FP1044,Inventory,,,30-Lb,,,,,,
Opo Long Per Lb,Opo 40# mexico/ Squash Oppo Long AG/AE - 672055,FP1045,Inventory,,,40-Lb,,,,,,
Opo Round Per Lb, - 672059,FP1046,Inventory,,,40-Lb,,,,,,
Sinqua Per Lb,TBD -Singkwa- Mexico - 672099,FP1047,Inventory,,,30-Lb,,,,,,
Tinda Punjabi Per Lb,Squash Tinda - 672108,FP1048,Inventory,,,30-Lb,,,,,,
Bean Valor Flat Per Lb, - 671864,FP1049,Inventory,,,20-Lb,,,,,,
Dosakai Per Lb, - 672078,FP1050,Inventory,,,40-Lb,,,,,,
Pumpkin Yellow Per Lb,600lbs LBS Kadu Squash - 672057,FP1051,Inventory,,,/L-Lb,,,,,,
Pumpkin White Per Lb,750lbs -LBS Donqua/ White Petha/petha wintermelon - 672056,FP1052,Inventory,,,/L-Lb,,,,,,
Turnip Per Lb, - 672045,FP1053,Inventory,,,25-Lb,,,,,,
Mooli/Daikon Per Lb,Diakon with Leaf - 672058,FP1054,Inventory,,,40-Lb,,,,,,
Beetroot Per Lb, - 671889,FP1055,Inventory,,,25-Lb,,,,,,
Broccoli Per Lb,TBD -Broccali Crown - 671898,FP1056,Inventory,,,20-Lb,,,,,,
Avocado Ea,Avocado 60s Mexico - 671786,FP1057,Inventory,,,70-Ea,,,,,,
Bean Garbanzo S Per Lb, - 671810,FP1058,Inventory,,,15-Lb,,,,,,
Bean Fava S Per Lb, - 671809,FP1059,Inventory,,,20-Lb,,,,,,
Banana Plantain Per Lb,TBD -Banana Plantain Green Columbia/ Banana Chiquita - 671806,FP1060,Inventory,,,40-Lb,,,,,,
Corn Yellow Ea, - 672025,FP1061,Inventory,,,48-Ea,,,,,,
Radish Red Per Lb,Radish Sack - 672043,FP1062,Inventory,,,25-Lb,,,,,,
Chayote, - 672076,FP1063,Inventory,,,40-Lb,,,,,,
Cabbage Red Per Lb, - 671955,FP1064,Inventory,,,50-Lb,,,,,,
Banana Leaves Ea, - 671841,FP1065,Inventory,,,30-Lb,,,,,,
Methi Bunch Ea,TBD -Leaf- Methi - 671862,FP1066,Inventory,,,24-Ea,,,,,,
Drumstick Leaves Per Lb, - 671855,FP1067,Inventory,,,10-Lb,,,,,,
Cilantro Ea, - 671844,FP1068,Inventory,,,60-Ea,,,,,,
Leaf Paan 5 Pack Ea,Pann Box/ Leaves Paan Hawaii - 671837,FP1069,Inventory,,,250-Ea,,,,,,
Banana Flower Per Lb, - 671840,FP1070,Inventory,,,30-Lb,,,,,,
Saag Mustard Bunch Ea, - 671866,FP1071,Inventory,,,24-Ea,,,,,,
Leaf Curry Pach Ea, - 671853,FP1072,Inventory,,,300-Ea,,,,,,
Onion Spring Ea,TBD -Onion-Green Mexico 4dz/ Onions Green WTBD - FP1431 1 carton - 671930,FP1073,Inventory,,,48-Ea,,,,,,
Asparagus Bunch Ea, - 671839,FP1074,Inventory,,,11-Ea,,,,,,
Gongura Leaves Bunch Ea, - 671827,FP1075,Inventory,,,40-Ea,,,,,,
Red Leaves Per Lb,TBD -Indian Red Leaf - 671869,FP1076,Inventory,,,20-Lb,,,,,,
Spinach Bunch, - 671871,FP1077,Inventory,,,24-Ea,,,,,,
Spinach Small Bag Ea,TBD -Spinach Cello 12x10oz - 671872,FP1078,Inventory,,,12-Ea,,,,,,
Spinach Big Bag Ea, - 672047,FP1079,Inventory,,,1-Ea,,,,,,
Dil Leaves Bunch,TBD -Dz Baby Dill Mexico - 671854,FP1080,Inventory,,,60-Ea,,,,,,
Mint Ea,TBD -Dz. Mint (17cs) - 671863,FP1081,Inventory,,,60-Ea,,,,,,
Aloevera Ea, - 671838,FP1082,Inventory,,,25-Lb,,,,,,
Saag Rapini Bunch Ea,TBD -Rapini - 671868,FP1083,Inventory,,,20-Ea,,,,,,
Bathua Bunch Ea, - 671842,FP1084,Inventory,,,20-Ea,,,,,,
Kale Bunch Ea, - 671859,FP1085,Inventory,,,24-Ea,,,,,,
Garlic Loose Per Lb, - 671790,FP1086,Inventory,,,30-Lb,,,,,,
Ginger Fresh Per Lb,TBD -Ginger China 30# - 671794,FP1087,Inventory,,,30-Lb,,,,,,
Turmeric White Per Lb, - 672069,FP1088,Inventory,,,25-Lb,,,,,,
Turmeric Yellow Per Lb,Turmeric yellow Fiji - 672070,FP1089,Inventory,,,25-Lb,,,,,,
Garlic Peeled Per Lb, - 671792,FP1090,Inventory,,,1-Lb,,,,,,
Garlic Peeled 5Lb Bag Ea,TBD-Garlic Peeled 6x5#china - 671791,FP1091,Inventory,,,6-Ea,,,,,,
Garlic Bunch Ea,TBD -Garlic Cello 30#- China - 671782,FP1092,Inventory,,,48-Ea,,,,,,
Tomato Jumbo Per Lb,Loose Tomato - 672066,FP1093,Inventory,,,25-Lb,,,,,,
Tomato Roma Per Lb, - 672072,FP1094,Inventory,,,25-Lb,,,,,,
Tomato Cluster Per Lb, - 672064,FP1095,Inventory,,,10-Lb,,,,,,
Chili Thai Per Lb,TBD -Chilli-Thai Green Dom Rep - 672005,FP1096,Inventory,,,30-Lb,,,,,,
Chili Hot Indian Long Per Lb,Chili- Indian Long Dominican 10#/ Finger Hot Chilli - 671997,FP1097,Inventory,,,25-Lb,,,,,,
Chili Serrano Per Lb, - 672003,FP1098,Inventory,,,38-Lb,,,,,,
Chili Yellow Per Lb, - 672008,FP1099,Inventory,,,28-Lb,,,,,,
Chili Jalapeno Per Lb,TBD - Chili Jalapeno 38# - 671998,FP1100,Inventory,,,38-Lb,,,,,,
Bell Pepper Green Per Lb,TBD -Bell Pepper Green 24# - 671976,FP1101,Inventory,,,25-Lb,,,,,,
Bell Pepper Yellow Per Lb,TBD -Bell Yellow 11# Mexico - 672007,FP1102,Inventory,,,25-Lb,,,,,,
Bell Pepper Red Per Lb, - 672002,FP1103,Inventory,,,15-Lb,,,,,,
Bell Pepper Orange Per Lb, - 672001,FP1104,Inventory,,,24-Lb,,,,,,
Cucumber Field Per Lb,TBD -Cucumber Mexico - 672027,FP1105,Inventory,,,50-Lb,,,,,,
Cucumber Persian Per Lb,Pickle Persian Mexico - 672028,FP1106,Inventory,,,20-Lb,,,,,,
Cucumber Pickle Per Lb,TBD -Pickle 40# Mexico - 672029,FP1107,Inventory,,,40-Lb,,,,,,
Tar Indian Per Lb,TBD -Cucumber Indian - 672030,FP1108,Inventory,,,25-Lb,,,,,,
Cucumber English Ea, - 672026,FP1109,Inventory,,,12-Ea,,,,,,
Okra Apni Mandi Cut Per Lb, - ,FP1110,Inventory,,,1-,,,,,,
Apni Mandi Cut Cauliflower Per lb, - ,FP1111,Inventory,,,1-,,,,,,
Apni Mandi Cut Green Bell Pepper Per lb, - ,FP1112,Inventory,,,1-,,,,,,
Apni Mandi Cut Beans Per lb, - ,FP1113,Inventory,,,1-,,,,,,
Apni Mandi Cut Per lb, - ,FP1114,Inventory,,,1-,,,,,,
Apni Mandi Cut Mix Veg Per lb, - ,FP1115,Inventory,,,1-,,,,,,
Apni Mandi Cut Jack Fruit Per Lb,LBS Jackfruit Mexico - ,FP1116,Inventory,,,1-,,,,,,
Apni Mandi Cut Taro/Arvi Per Lb, - ,FP1117,Inventory,,,1-,,,,,,
Apni Mandi Cut Tindora Per Lb, - ,FP1118,Inventory,,,1-,,,,,,
Apni Mandi Green Sprouts Per lb, - ,FP1119,Inventory,,,1-,,,,,,
Apni Mandi Cut Yellow Pumpkin Per Lb, - ,FP1120,Inventory,,,1-,,,,,,
Apple Fuji Per Lb,Fuji 64 premium  - 671760,FP1121,Inventory,,,40-Lb,,,,,,
Banana Per Lb,TBD -Banana Turning Ecuador - 671805,FP1122,Inventory,,,40-Lb,,,,,,
Banana Baby Per Lb,TBD -Banana Baby Columbia - 671789,FP1123,Inventory,,,15-Lb,,,,,,
Orange Naval Per Lb, - 6719938,FP1124,Inventory,,,40-Lb,,,,,,
Orange Tangerine Per Lb,Tangerines Med - 671943,FP1125,Inventory,,,40-Lb,,,,,,
Papaya Green Papaya Per Lb, - 671945,FP1126,Inventory,,,35-Lb,,,,,,
Papaya Yellow Papaya Per Lb,TBD -Papaya Mexican- Mexico - 671947,FP1127,Inventory,,,32-Lb,,,,,,
Kiwi Per Lb, - 671818,FP1128,Inventory,,,25-Lb,,,,,,
Grapes Green Per Lb, - 671800,FP1129,Inventory,,,18-Lb,,,,,,
Grapes Red Per Lb,TBD -Grape Red SeedLess - 671801,FP1130,Inventory,,,18-Lb,,,,,,
Grapes Black Per Lb, - 671796,FP1131,Inventory,,,18-Lb,,,,,,
Melon Honeydew Per Lb, - 671905,FP1132,Inventory,,,25-Lb,,,,,,
Melon Cantaloupe Ea,TBD -Cantaloupe - 671887,FP1133,Inventory,,,12-Ea,,,,,,
Plum Red Per Lb, - 671987,FP1134,Inventory,,,18-Lb,,,,,,
Plum Black Per Lb, - 671986,FP1135,Inventory,,,18-Lb,,,,,,
Strawberry Box,"TBD -Berries, Strawberry 8/1LBS - 671896",FP1136,Inventory,,,8-Ea,,,,,,
Pomegranate Ea, - 671990,FP1137,Inventory,,,9-Lb,,,,,,
Guava Big Per Lb,TBD -Guava Fruit/ Thai Guava 19-20 Lb - 671813,FP1138,Inventory,,,20-Lb,,,,,,
Guava Mexican Box, - 671815,FP1139,Inventory,,,16-Ea,,,,,,
Mini Watermelon Ea, - 671907,FP1140,Inventory,,,6-Ea,,,,,,
Watermelon Big Ea,Watermelon 45CT/ Seedless - 671909,FP1141,Inventory,,,60-Ea,,,,,,
Blueberry Box, - 671895,FP1142,Inventory,,,12-Ea,,,,,,
Dragon Fruit Ea, - 672079,FP1143,Inventory,,,9-Ea,,,,,,
Peach Per Lb, - 671951,FP1144,Inventory,,,18-Lb,,,,,,
Banana Burro Per Lb,TBD - Banana- Saba Green Mexico - 671807,FP1145,Inventory,,,40-Lb,,,,,,
Apple Gala Small Per Lb,"gala 125, 163 - 671765",FP1146,Inventory,,,40-Lb,,,,,,
Papaya Hawaiian Papaya Ea,TBD - Papaya Hawaii - 671946,FP1147,Inventory,,,7-Ea,,,,,,
Chili Anahiem Es Per Lb, - 671968,FP1148,Inventory,,,20-Lb,,,,,,
Snake Gourd Per Lb, - 672101,FP1149,Inventory,,,30-Lb,,,,,,
Zucchini Green Per Lb,TBD -Zucchini 24# Mexico - 672032,FP1150,Inventory,,,24-Lb,,,,,,
Apni Mandi Cut Karela Per lb, - ,FP1151,Inventory,,,1-,,,,,,
Apni Mandi Cut Mix Bellpepper Per lb, - ,FP1152,Inventory,,,1-,,,,,,
Apni Mandi Cut Beetroot Per Lb, - ,FP1153,Inventory,,,1-,,,,,,
Apni Mandi Cut Cabbage Per Lb, - ,FP1154,Inventory,,,1-,,,,,,
Apni Mandi Moth Sprouts Per lb, - ,FP1155,Inventory,,,1-,,,,,,
Apni Mandi Chana Sprouts Per Lb, - ,FP1156,Inventory,,,1-,,,,,,
Apni Mandi Drumsticks Per lb, - ,FP1157,Inventory,,,1-,,,,,,
Apple Golden Delicious Per Lb,golden 72 - 671766,FP1158,Inventory,,,40-Lb,,,,,,
Apple Green Per Lb,Apple Granny - 671767,FP1159,Inventory,,,40-Lb,,,,,,
Melon Golden Ea, - 671902,FP1160,Inventory,,,1-Ea,,,,,,
Apple Sweetango Per Lb, - 671775,FP1161,Inventory,,,40-,,,,,,
Pineapple Ea, - 671984,FP1162,Inventory,,,6-Ea,,,,,,
Tamarind Sweet Box, - 672104,FP1163,Inventory,,,16-,,,,,,
Blackberry Box Ea, - 671890,FP1164,Inventory,,,12-Ea,,,,,,
Bok Choy Small Per Lb, - 671823,FP1165,Inventory,,,30-Lb,,,,,,
Corn White Ea, - 672022,FP1166,Inventory,,,48-Ea,,,,,,
Celery Bunch Ea,TBD -Celery Sleeve 30s - 671843,FP1167,Inventory,,,24-Ea,,,,,,
Onion Pearl White Ea, - 671923,FP1168,Inventory,,,12-Ea,,,,,,
Onion Pearl Yellow Ea, - 671924,FP1169,Inventory,,,12-Ea,,,,,,
Onion Red Boiler Bag Ea, - 671928,FP1170,Inventory,,,1-Ea,,,,,,
Carrot Purple Per Lb, - 671966,FP1171,Inventory,,,25-Lb,,,,,,
Kabocha Per Lb,TBD -Kabocha-Mexico - 672054,FP1172,Inventory,,,30-Lb,,,,,,
Squash Akron Per Lb, - 672049,FP1173,Inventory,,,1-Lb,,,,,,
Squash Butternut Per Lb, - 672051,FP1174,Inventory,,,35-Lb,,,,,,
Spaghetti Per Lb, - 672102,FP1175,Inventory,,,1-Lb,,,,,,
Green Leaves Bunch,Pulsagg Leaves - 671857,FP1176,Inventory,,,20-Lb,,,,,,
Peanut Roasted Per Lb, - 671956,FP1177,Inventory,,,50-Lb,,,,,,
Potato Red Small Per Lb, - 671996,FP1178,Inventory,,,50-Lb,,,,,,
Potato White Small Per Lb,TBD -Potato White Small(B) - 672023,FP1179,Inventory,,,50-Lb,,,,,,
Arbi/Taro Big Per Lb,TBD -Taro Big Mexico - 672107,FP1180,Inventory,,,40-Lb,,,,,,
Yam Red Per Lb, - 67038,FP1181,Inventory,,,40-Lb,,,,,,
Potato Sweet Per Lb, - 672016,FP1182,Inventory,,,40-Lb,,,,,,
Yam Japanese Per Lb, - 671993,FP1183,Inventory,,,40-Lb,,,,,,
Yuca Per Lb, - 672111,FP1184,Inventory,,,30-Lb,,,,,,
Saag Sarson Bunch Ea, - 671870,FP1185,Inventory,,,24-Ea,,,,,,
Carrot Shredded Baby Ea, - 671967,FP1187,Inventory,,,20-Ea,,,,,,
Ginger Organic Per Lb, - 671795,FP1188,Inventory,,,30-Lb,,,,,,
Peas English Per Lb,Green Peas - 671948,FP1189,Inventory,,,25-Lb,,,,,,
Chili Habenero Per Lb, - 671977,FP1190,Inventory,,,10-Lb,,,,,,
Kohlrabi Per Lb,TBD -Kolhrabi 12s - 672088,FP1191,Inventory,,,30-Lb,,,,,,
Orange Mandarin Orri Gold Cup Per Lb, - 671940,FP1192,Inventory,,,1-Lb,,,,,,
Peach White Per Lb, - 671952,FP1193,Inventory,,,18-Lb,,,,,,
Peach Yellow Per Lb, - 671953,FP1194,Inventory,,,18-Lb,,,,,,
Squash Summer Per Lb, - 672061,FP1195,Inventory,,,1-Lb,,,,,,
Apple Red Per Lb, - 671774,FP1196,Inventory,,,40-Lb,,,,,,
Chinese Bittermelon Per Lb, - 671816,FP1197,Inventory,,,30-Lb,,,,,,
Sheli Hon, - 671832,FP1198,Inventory,,,1-,,,,,,
Valor Round Per Lb, - 671852,FP1199,Inventory,,,20-Lb,,,,,,
Valor Long Per Lb, - 671850,FP1200,Inventory,,,20-Lb,,,,,,
Onion Mexican Ea, - 671919,FP1201,Inventory,,,24-Ea,,,,,,
Lychee Per Lb, - 671878,FP1202,Inventory,,,10-Lb,,,,,,
Cantola Per Lb, - 672075,FP1203,Inventory,,,1-Lb,,,,,,
Walnut Whole Per Lb,TBD -Walnut - 672110,FP1204,Inventory,,,50-Lb,,,,,,
Apni Mandi Cut Brocoli Per lb, - ,FP1205,Inventory,,,1-,,,,,,
Yo Choy Per Lb, - 671836,FP1208,Inventory,,,1-Lb,,,,,,
Gai Lan Per Lb, - 671826,FP1209,Inventory,,,1-Lb,,,,,,
Apni Mandi Cut Turnip Per lb, - ,FP1210,Inventory,,,1-,,,,,,
Parsley Bunch Ea, - 671867,FP1211,Inventory,,,60-Ea,,,,,,
Chili Fresno Red Per Lb, - 671971,FP1227,Inventory,,,10-Lb,,,,,,
Napa Leaf Per Per Lb,napa 45-50# tally - 671954,FP1228,Inventory,,,45-Lb,,,,,,
Apricot Per Lb, - 671780,FP1229,Inventory,,,13-Lb,,,,,,
Opo Indian,TBD -Opo Indian Mexico/ Long squash/ Indian Long Squash - 672052,FP1240,Inventory,,,40-Lb,,,,,,
Apni Mandi Cut And Clean Corn, - ,FP1241,Inventory,,,1-,,,,,,
Lettuce Romanie Ea, - 671861,FP1245,Inventory,,,24-Ea,,,,,,
Collard Green, - 671825,FP1246,Inventory,,,1-,,,,,,
Brussel Sprouts Per Lb,TBD -Brussel Sprouts - 671899,FP1247,Inventory,,,25-Lb,,,,,,
Nectarine Per Lb,Yellow Nectarine 80/84 CT - 671914,FP1248,Inventory,,,18-Lb,,,,,,
Pear Red Per Lb, - 671982,FP1249,Inventory,,,40-Lb,,,,,,
Sweet Mini Pepper Per Lb, - 672004,FP1250,Inventory,,,1-Lb,,,,,,
Ratalu Per Lb, - 672098,FP1251,Inventory,,,1-Lb,,,,,,
Fennel Leaves Bunch Ea, - 671819,FP1252,Inventory,,,24-Ea,,,,,,
Leek Bunch , - 671860,FP1253,Inventory,,,12-Ea,,,,,,
Organic Artichoke Ea, - 671784,FP1254,Inventory,,,1-Ea,,,,,,
Apni Mandi Cut White Pumpkin Per Lb, - ,FP1255,Inventory,,,1-,,,,,,
Mango Single Ea, - 671885,FP1256,Inventory,,,1-Ea,,,,,,
Jaggery per lb, - ,FP1257,Inventory,,,1-,,,,,,
Carrot Indian Per Lb, - 671963,FP1258,Inventory,,,25-Lb,,,,,,
Taro Leaf Per Lb, - 671873,FP1259,Inventory,,,20-Lb,,,,,,
Chili Thai Red Per Lb, - 672006,FP1260,Inventory,,,30-Lb,,,,,,
Mango Heden Box 9Pcs Ea, - 671883,FP1262,Inventory,,,1-Ea,,,,,,
Mango Tommy 9Pcs Ea, - 671886,FP1263,Inventory,,,1-Ea,,,,,,
Carrot Bag 2Lb,Carrot Cello 48x1# - 671959,FP1264,Inventory,,,48-Lb,,,,,,
Small Pomegranate Per Lb, - 671992,FP1265,Inventory,,,1-Lb,,,,,,
Orange Tangerine Bag 3Lb Approx.,Mandarin Bag 10-3# Cuties/Gold NUgget Manddari 10/3 - 671942,FP1266,Inventory,,,10-Ea,,,,,,
Peas Snow Lb, - 671949,FP1267,Inventory,,,10-Lb,,,,,,
Mango Leaves Bunch Ea, - 671830,FP1268,Inventory,,,1-Ea,,,,,,
