productName,Sales Description,SKU,Type,Sales Price / Rate,Income Account,Purchase Description,Purchase Cost,Expense Account,Quantity on Hand,Reorder Point,Inventory Asset Account,Quantity as-of Date
Button Rose, - 672105,FP1269,Inventory,,,1-,,,,,,
Bag Ea, - ,FP1270,Inventory,,,1-Ea,,,,,,
Bell Pepper Mix Bag 1Lb, - 671970,FP1271,Inventory,,,1-Lb,,,,,,
Peas Sugar Snap Per Lb,TBD -Pea- Snap 10# - 671950,FP1272,Inventory,,,10-Lb,,,,,,
Mango Kent Box -12 Ea, - 671884,FP1274,Inventory,,,1-Ea,,,,,,
Onion Red Bag 3Lb, - 671927,FP1275,Inventory,,,1-Ea,,,,,,
Cherries Ranier Per Lb, - 671893,FP1276,Inventory,,,1-Lb,,,,,,
Apni Mandi Cut Corn 3Pcs, - ,FP1277,Inventory,,,1-,,,,,,
Apni Mandi Sambar Mix Per lb, - ,FP1284,Inventory,,,1-,,,,,,
Cherries Organic Per Lb, - 671891,FP1285,Inventory,,,1-Lb,,,,,,
Indian Kharbuja Per Lb, - 671906,FP1286,Inventory,,,1-Lb,,,,,,
Eggplant White Thai Per Lb, - 672100,FP1292,Inventory,,,1-Lb,,,,,,
Guava Baby Per Lb, - 671812,FP1300,Inventory,,,1-Lb,,,,,,
Grapefruit 5 For $1, - ,FP1301,Inventory,,,1-,,,,,,
Indian Petha Lb, - 672053,FP1303,Inventory,,,1-Lb,,,,,,
Eggplant Chinese Small Per Lb, - 672036,FP1304,Inventory,,,30-Lb,,,,,,
Saag Indian Bunch, - 671858,FP1355,Inventory,,,24-Ea,,,,,,
Maggi Noodle 2 For, - ,FP1363,Inventory,,,1-,,,,,,
Parle-G Biscuits 6 For $72, - ,FP1364,Inventory,,,1-,,,,,,
Parle Kreams, - ,FP1365,Inventory,,,1-,,,,,,
Threptin Diskettes 275G, - ,FP1369,Inventory,,,1-,,,,,,
Peanuts Raw Per Lb,TBD -Peanut Raw 50# - 671957,FP1374,Inventory,,,50-Lb,,,,,,
Jasmine Malli Flower, - 671781,FP1375,Inventory,,,1-,,,,,,
Lettuce Pacific Romaine Hearts 3 Pack, - 671877,FP1382,Inventory,,,24-,,,,,,
Lemon Grass Per Lb, - 671828,FP1384,Inventory,,,40-Lb,,,,,,
Apni Mandi Cut Yellow Papaya Per Lb, - ,FP1385,Inventory,,,1-,,,,,,
Pomegranate Cup Ea, - ,FP1386,Inventory,,,1-,,,,,,
Apni Mandi Cut Cantaloupe Tray, - ,FP1387,Inventory,,,1-,,,,,,
Apni Mandi Sweet Yellow Grapes Box Per Lb, - ,FP1388,Inventory,,,1-,,,,,,
Apni Mandi Sweet Black Grapes Box Per Lb, - ,FP1389,Inventory,,,1-,,,,,,
Tomato Grape Medley Per Lb, - 672065,FP1390,Inventory,,,1-Lb,,,,,,
Apni Mandi Mix Bell Papper Cut Per Lb, - ,FP1393,Inventory,,,1-,,,,,,
Coconut Bansi Dry 1Lb, - ,FP1396,Inventory,,,1-Lb,,,,,,
Chili Mix Thai Per Lb, - 672000,FP1397,Inventory,,,1-Lb,,,,,,
Artichoke 2 For$1, - ,FP1398,Inventory,,,1-,,,,,,
Mango Atulfo 6Pc Pack, - 671879,FP1399,Inventory,,,1-,,,,,,
Garlic South Sea Pearl Peeled 1Lb,TBD -Peeled Garlic 20x1 China - 671793,FP1400,Inventory,,,20-Ea,,,,,,
Basil Leaves, - 671821,FP1402,Inventory,,,1-,,,,,,
Moongra Per Lb, - 671851,FP1403,Inventory,,,1-Lb,,,,,,
Mushroom Loose Per Lb, - ,FP1404,Inventory,,,10-Lb,,,,,,
Pear Jct Singo 3Pcs Ea, - 671978,FP1406,Inventory,,,1-Ea,,,,,,
Tomato Mexican , - 672067,FP1407,Inventory,,,40-Lb,,,,,,
Onion White 50Lb, - 671931,FP1416,Inventory,,,1-Ea,,,,,,
Sour Leaf Bunch Ea, - 671834,FP1417,Inventory,,,1-Ea,,,,,,
Mango Leaf 4 Pack, - 671829,FP1422,Inventory,,,1-,,,,,,
Banana Leaf Single, - 671820,FP1425,Inventory,,,30-lb,,,,,,
Eggplant Graffiti Big Per Lb, - 672087,FP1429,Inventory,,,1-Lb,,,,,,
Onion White Pearls 10Oz, - 671923,FP1430,Inventory,,,1-Ea,,,,,,
Onion Green Per Lb, - ,FP1431,Inventory,,,1-Lb,,,,,,
Raspberry Box, - 671894,FP1432,Inventory,,,1-,,,,,,
Carrot Per Lb,Carrot Box Cliptop 50# - 671962,FP1433,Inventory,,,50-Lb,,,,,,
Apni Mandi Cut Zucchini Per Lb, - ,FP1434,Inventory,,,1-,,,,,,
Apni Mandi Cut RamTori Per lb, - ,FP1435,Inventory,,,1-,,,,,,
Napa Talley, - 671831,FP1436,Inventory,,,1-,,,,,,
Mustard China, - 671865,FP1437,Inventory,,,24-Ea,,,,,,
Beet With Leaves, - 671888,FP1438,Inventory,,,1-,,,,,,
Carrot With Leaves, - 671961,FP1439,Inventory,,,1-,,,,,,
Radish With Leaves,Radish 48 ICED  Bunched - 672044,FP1440,Inventory,,,48-,,,,,,
Eggplant Apni Mandi Cut Per Lb, - ,FP1441,Inventory,,,1-,,,,,,
Pear D'Anjou , - 671973,FP1442,Inventory,,,40-Lb,,,,,,
All Natural Soybean Sprouts 12Oz, - ,FP1443,Inventory,,,1-,,,,,,
Apni Mandi Cut Opo Per lb, - ,FP1444,Inventory,,,1-,,,,,,
Avocados Bag, - 671787,FP1445,Inventory,,,12-ct,,,,,,
Potato Marble 24Oz Ea, - 671994,FP1446,Inventory,,,1-Ea,,,,,,
Carrot Apni Mandi Cut Indian Per Lb, - ,FP1447,Inventory,,,1-,,,,,,
Apni Mandi Cut Chinese Bittermelon Per Lb, - ,FP1448,Inventory,,,1-,,,,,,
Chinese Celery/Per Lb, - 671824,FP1449,Inventory,,,1-Lb,,,,,,
Small Gai Choy Per Lb, - 671833,FP1450,Inventory,,,1-Lb,,,,,,
Coconut W/Straw Ea, - 672014,FP1451,Inventory,,,9-Ea,,,,,,
Apple Cosmic Crisp Per Lb, - 671778,FP1452,Inventory,,,40-Lb,,,,,,
Garlic Indian Peeled 1 Lb, - 671783,FP1453,Inventory,,,1-Lb,,,,,,
Thotakura Per Lb,Tandelo leaves 10-12 Lb - 671835,FP1454,Inventory,,,20-Lb,,,,,,
Garlic Indian Peeled 1/2Lb, - 671788,FP1455,Inventory,,,1-Lb,,,,,,
Zucchini Grey Per Lb,Squash Gray - 672033,FP1456,Inventory,,,25-Lb,,,,,,
Apni Mandi Cut Hawaiian Papaya Per Lb, - ,FP1457,Inventory,,,1-,,,,,,
Apni Mandi Cut Pineapple per lb, - ,FP1458,Inventory,,,1-,,,,,,
Cherries Per Lb,Red Cherries 8/2/ Cherry Brooks - 671892,FP1459,Inventory,,,16-Lb,,,,,,
Apni Mandi Cut Mushroom per lb, - ,FP1461,Inventory,,,1-,,,,,,
Mashroom White, - 671913,FP1462,Inventory,,,1-,,,,,,
Red Spinach Bunch Ea, - 672046,FP1463,Inventory,,,1-Ea,,,,,,
Onion Pearl Per Lb, - ,FP1464,Inventory,,,1-Lb,,,,,,
Mango Apni Mandi Cut Per Lb, - ,FP1467,Inventory,,,1-,,,,,,
Apni Mandi Cut Sinqua Per Lb, - ,FP1468,Inventory,,,1-,,,,,,
Apni Mandi Cut Water-Melon Ea, - ,FP1470,Inventory,,,1-,,,,,,
Carrot Apni Mandi & Greenbeans Per Lb, - ,FP1471,Inventory,,,1-,,,,,,
Golden Hemi Per Lb, - 671901,FP1473,Inventory,,,1-Lb,,,,,,
Rambutan Per Lb, - 672097,FP1474,Inventory,,,1-Lb,,,,,,
Squash Bengali Per Lb, - 672050,FP1475,Inventory,,,40-Lb,,,,,,
Water Spinach Per Lb, - 672048,FP1476,Inventory,,,40-Lb,,,,,,
Carrot Kern Ridge Shredded S Pck,TBD -Carrot Matchstick - 671965,FP1477,Inventory,,,20-,,,,,,
Apple Honey Crisp Per Lb, - 671768,FP1478,Inventory,,,40-Lb,,,,,,
Broccoflower Ea, - 671897,FP1479,Inventory,,,1-Ea,,,,,,
Plum Sierra Honey Per Lb, - 671988,FP1480,Inventory,,,1-Lb,,,,,,
Dates Fresh Yellow Per Lb, - 672034,FP1481,Inventory,,,1-Lb,,,,,,
Bok Choy Big Per Lb, - 671822,FP1482,Inventory,,,1-Lb,,,,,,
Apple Pink Lady Per Lb, - 671772,FP1483,Inventory,,,40-Lb,,,,,,
Nectarine White Per Lb, - 671915,FP1484,Inventory,,,18-Lb,,,,,,
Bean Green French S 1Lb, - 671846,FP1485,Inventory,,,1-Lb,,,,,,
Fuyu Persimmon Per Lb, - 672084,FP1486,Inventory,,,30-Lb,,,,,,
Orange Minneola Per Lb, - 671937,FP1487,Inventory,,,1-Lb,,,,,,
Bean Long S(Light Green) Per Lb,Long white beans - 671849,FP1488,Inventory,,,30-Lb,,,,,,
Apni Mandi Cut Dragon Fruit Per lb, - ,FP1489,Inventory,,,1-,,,,,,
Chili Long Per Lb, - 671999,FP1490,Inventory,,,25-Lb,,,,,,
Apple Gala Per Lb,gala 72/ Apple Gala 80 - 671763,FP1495,Inventory,,,40-Lb,,,,,,
Italian Prunes Per Lb, - 672085,FP1496,Inventory,,,1-Lb,,,,,,
Jujube Fresh Per Lb, - 672086,FP1497,Inventory,,,20-Lb,,,,,,
Pear S Bartlett Per Lb,Pears FR 90-150 - 671981,FP1498,Inventory,,,40-Lb,,,,,,
Tomato Tomatillo Per Lb,TBD -TOMATILLO 40# Mexico - 672068,FP1499,Inventory,,,40-Lb,,,,,,
Grapes Sunview Per Lb, - 671811,FP1500,Inventory,,,1-Lb,,,,,,
Asparagus Per Lb, - ,FP1501,Inventory,,,1-Lb,,,,,,
Pumpkin Halloween Small , - 672040,FP1502,Inventory,,,1-,,,,,,
Pumpkin Halloween Medium , - 672039,FP1503,Inventory,,,1-,,,,,,
Pumpkin Hallowen Large , - 672042,FP1504,Inventory,,,1-,,,,,,
Corn Bunch(3) Halloween, - 672024,FP1505,Inventory,,,1-,,,,,,
Pumpkin Halloween Toy , - 672041,FP1506,Inventory,,,1-,,,,,,
Plumcot -Plum Cherry Per Lb, - 671989,FP1507,Inventory,,,1-Lb,,,,,,
Plum Green Per Lb, - 671985,FP1508,Inventory,,,18-Lb,,,,,,
Apple Juici Per Lb, - 671779,FP1509,Inventory,,,1-Lb,,,,,,
Honey Pomelo Ea, - 671904,FP1510,Inventory,,,1-Ea,,,,,,
Apni Mandi Cut Long Beans per lb, - ,FP1511,Inventory,,,1-,,,,,,
Apple Autumn Glory Per Lb, - 671777,FP1512,Inventory,,,40-Lb,,,,,,
Pear Crown S Per Lb, - 671972,FP1513,Inventory,,,1-Lb,,,,,,
Pear Shinko Brown S Per Lb,Shingo Pear 3x8 Korean Brown - 671983,FP1514,Inventory,,,1-Lb,,,,,,
Fresh Marigold Flower Bouqet, - 672106,FP1515,Inventory,,,1-,,,,,,
Pomelo Per Lb, - 671908,FP1516,Inventory,,,1-Lb,,,,,,
Orange Mandarin Satsuma Per Lb,"Tangerines , Satsuma 22LB/ Mandarin/ Tangerines Tango - 671941",FP1517,Inventory,,,22-Lb,,,,,,
Orange Tangerine With Leaves Per Lb,Tangerines S&L Large - 671944,FP1518,Inventory,,,22-Lb,,,,,,
Fresh Jicama Per Lb, - 672082,FP1519,Inventory,,,30-Lb,,,,,,
Without Shell Walnut Per Lb, - 672071,FP1520,Inventory,,,1-Lb,,,,,,
Sugarcane Ea, - 672103,FP1521,Inventory,,,10-Ea,,,,,,
Mango Mambo 9Pcs Ea, - 671882,FP1522,Inventory,,,1-Ea,,,,,,
Pear Golden S Box, - 671975,FP1523,Inventory,,,1-,,,,,,
Pear Brown Pack Of 3,Brown Pear Clam 3*8 - 671964,FP1524,Inventory,,,1-,,,,,,
Apni Mandi Pomegranate Cup, - ,FP1525,Inventory,,,1-,,,,,,
Squash Yellow Per Lb, - 672031,FP1526,Inventory,,,1-Lb,,,,,,
Apple Kissable 2Lb Bag, - 671771,FP1527,Inventory,,,1-,,,,,,
Grapefruit Cocktail Per Lb, - 671802,FP1528,Inventory,,,1-Lb,,,,,,
Coconut Dried Whole 0.454 Kg/1Lb, - ,FP1529,Inventory,,,1-Lb,,,,,,
Eggplant Thai Big Per Lb, - 672096,FP1530,Inventory,,,1-Lb,,,,,,
Avocado 2 For $1, - ,FP1531,Inventory,,,1-,,,,,,
Brussel Sprouts Stalk Ea, - 671900,FP1532,Inventory,,,1-Ea,,,,,,
Banana Baby Manzano Per Lb, - 671804,FP1533,Inventory,,,15-Lb,,,,,,
Apple Jazz Per Lb, - 671769,FP1534,Inventory,,,1-Lb,,,,,,
Onion Green 3 F0R 1, - 671920,FP1535,Inventory,,,1-,,,,,,
Apple Sweetie Per Lb, - 671776,FP1536,Inventory,,,40-Lb,,,,,,
Apple Kissabel Per Lb, - 671770,FP1537,Inventory,,,40-Lb,,,,,,
Orange Cara Cara Per Lb, - 671939,FP1538,Inventory,,,40-Lb,,,,,,
Cilantro 3 For 1, - ,FP1539,Inventory,,,1-,,,,,,
Pear French Butter S Per Lb, - 671974,FP1540,Inventory,,,1-Lb,,,,,,
Fresh Tamarind, - 672083,FP1541,Inventory,,,40-Lb,,,,,,
Mango Green Baby Per Lb, - 671880,FP1542,Inventory,,,20-Lb,,,,,,
Chikoo/ Sapote Per Lb, - 672077,FP1543,Inventory,,,25-Lb,,,,,,
, - ,FP1544,Inventory,,,1-,,,,,,
Tofu Wo Chong Firm,TBD -Tofu- Firm Cello - 672062,FP1560,Inventory,,,12-Ea,,,,,,
Tofu Wo Chong Soft , - 672063,FP1561,Inventory,,,12-Ea,,,,,,
Apple Rave Per Lb, - 671773,FP1562,Inventory,,,40-Lb,,,,,,
Apple Fuji China Per Lb , - 671761,FP1563,Inventory,,,20-Lb,,,,,,
Green Leaf Lettuce ,Leaf-Green 24s - 671856,FP1564,Inventory,,,24-Ea,,,,,,
Grapefruits Per Lb , - 671803,FP1565,Inventory,,,40-Lb,,,,,,
Pear S Asian Per Lb , - 671980,FP1566,Inventory,,,20-Lb,,,,,,
Bean Romano Per Lb , - 671808,FP1568,Inventory,,,1-Lb,,,,,,
Lime 5 For $1, - ,FP1569,Inventory,,,1-,,,,,,
Apple Ambrosia Per Lb , - 671759,FP1570,Inventory,,,40-Lb,,,,,,
Orange Mandarin Murcott Per Lb ,"Mandarin, Tangerine 6/5 LB - 671935",FP1571 ,Inventory,,,22-Lb,,,,,,
Grapes Clamshell Black 3Lb, - 671797,FP1572,Inventory,,,6-Ea,,,,,,
Apple Gala Organic Per Lb, - 671764,FP1573,Inventory,,,40-Lb,,,,,,
Apple Fuji Organic Per Lb , - 671762,FP1574,Inventory,,,40-Lb,,,,,,
Coconut White Each , - 672015,FP1575,Inventory,,,20-Ea,,,,,,
Guava Mexican Per Lb, - 671814,FP1576,Inventory,,,20-Lb,,,,,,
Grapes Candy Red Box Ea, - 671798,FP1577,Inventory,,,10-Ea,,,,,,
Breadfruit Per Lb , - 672074,FP1578,Inventory,,,40-Lb,,,,,,
Pomegranate Airls 4Oz, - 671991,FP1579,Inventory,,,12-Ea,,,,,,
Squash Moqua Per Lb , - 672060,FP1580,Inventory,,,40-Lb,,,,,,
Pear Bosc Per Lb, - 671979,FP1581,Inventory,,,40-Lb,,,,,,
Graped Candy Red Heart 3Lb, - 671799,FP1582,Inventory,,,6-Ea,,,,,,
Dragon Fruit Yellow Ea, - 672080,FP1583,Inventory,,,7-Ea,,,,,,
Orange Mandarin With Leaves Per Lb , - 671936,FP1584,Inventory,,,22-Lb,,,,,,
Galanga Root Per Lb , - ,FP1585,Inventory,,,28-Lb,,,,,,
Lotus Root Per Lb , - ,FP1586,Inventory,,,40-Lb,,,,,,
Artichoke Each, - ,FP1587,Inventory,,,30-Ea,,,,,,
Bean Sprouts Pack Each , - ,FP1588,Inventory,,,25-Ea,,,,,,
Mitake Mushroom Each, - ,FP1589,Inventory,,,24-Ea,,,,,,
Shitake Mushroom Per Lb , - ,FP1590,Inventory,,,5-Lb,,,,,,
Parsnip Per Lb , - ,FP1591,Inventory,,,20-Lb,,,,,,
Snow Tip Leaves Per Lb, - ,FP1592,Inventory,,,10-Lb,,,,,,
Mango Steen Bag Each , - ,FP1593,Inventory,,,7-Ea,,,,,,
Cabbage Taiwan Per Lb, - ,FP1594,Inventory,,,40-Lb,,,,,,
Apple Koru Per Lb , - ,FP1595,Inventory,,,30-Lb,,,,,,
Lime 3 For $1, - ,FP1596,Inventory,,,1-,,,,,,
Orange Tangerine Honey Per Lb , - 672424,FP1597,Inventory,,,40-Lb,,,,,,
Lime 4 For $1, - ,FP1598,Inventory,,,200-Ea,,,,,,
Mango Champagne Box Ea, - 672450,FP1599,Inventory,,,14-Ea,,,,,,
Mango Champagne Ea,Mango Champagne each piece youâ€™d not need as we do not buy in per piece - 672451,FP1600,Inventory,,,14-Ea,,,,,,
Mango Atulfo Box 16Ct , - 672473,FP1601,Inventory,,,1-Ea,,,,,,
Mango Atulfo Box 18Ct , - 672474,FP1602,Inventory,,,1-Ea,,,,,,
Mango Atulfo Each , - ,FP1603,Inventory,,,14-Ea,,,,,,
Apple Evercrisp Per Lb , - 672475,FP1604,Inventory,,,24-Lb,,,,,,
Blueberry Box 510G, - ,FP1605,Inventory,,,12-Ea,,,,,,
Singoda Pack Each, - 672476,FP1606,Inventory,,,20-Ea,,,,,,
Peeled Sugarcane Pack , - 672477,FP1607,Inventory,,,30-Ea,,,,,,
Pear Crown 4Ct Box, - 672479,FP1608,Inventory,,,12-Ea,,,,,,
Pomegranate Indian Per Lb, - 672478,FP1609,Inventory,,,8-Lb,,,,,,
Apple Braeburn, - ,FP1610,Inventory,,,40-Lb,,,,,,
Orange Tangerine Golden Nugget, - ,FP1611,Inventory,,,25-Lb,,,,,,
Taro Root 38-40 Lbs, - ,FP1612,Inventory,,,40-Lb,,,,,,
Papaya Papaya 30Lb,  - ,FP1613,Inventory,,,40-Lb,,,,,,
Mango Haden Box 12 Ct , - 672522,FP1614,Inventory,,,1-Ea,,,,,,
Orange Tangerine Baby Per Lb , - 672521,FP1615,Inventory,,,25-Lb,,,,,,
Cucumber English 3 For $1, - ,FP1616,Inventory,,,12-Ea,,,,,,
Cilantro 2 For1, - ,FP1617,Inventory,,,60-Ea,,,,,,
Mango Nam Dok Mai 16Ct, - 672601,FP1618,Inventory,,,1-Ea,,,,,,
Sitaphal Per Lb , - 672608,FP1619,Inventory,,,30-Lb,,,,,,
Mango Alphonso Box , - 672609,FP1620,Inventory,,,1-Ea,,,,,,
Mango Kesar Box , - 672610,FP1621,Inventory,,,11-Ea,,,,,,
Mango Ataulfo 14 Ct , - ,FP1622,Inventory,,,14-Ea,,,,,,
Almond Shelled Per Lb , - 672687,FP1623,Inventory,,,25-Lb,,,,,,
Plum Yellow Per Lb , - 672688,FP1624,Inventory,,,16-Lb,,,,,,
Saag Chana Each , - 672689,FP1625,Inventory,,,20-Ea,,,,,,
Mango Ratnagiri Alphonso Box , - 672739,FP1626,Inventory,,,1-Ea,,,,,,
Chilli Pasilla per lb , - 672755,FP1627,Inventory,,,20-Lb,,,,,,
Pear Forelle per lb , - 672758,FP1628,Inventory,,,20-Lb,,,,,,
Leaves Chulai bunch, - ,FP1629,Inventory,,,12-Ea,,,,,,
Mango Bangnapalli Box, - 672803,FP1630,Inventory,,,1-Ea,,,,,,
Mango Atulfo Box 24ct, - 672838,FP1631,Inventory,,,1-Ea,,,,,,
Mango Rasalu box, - 672847,FP1632,Inventory,,,1-Ea,,,,,,
Mango Tree Riped Per lb , - 672854,FP1633,Inventory,,,20-Lb,,,,,,
Lettuce Red Leaf Ea, - 672857,FP1634,Inventory,,,24-Ea,,,,,,
Mango Manila box 22ct, - 672855,FP1635,Inventory,,,1-Ea,,,,,,
NION, - 672856,FP1636,Inventory,,,1-Ea,,,,,,
Mango Rajapuri box, - 672860,FP1638,Inventory,,,1-Ea,,,,,,
Mango Mingolo box8ct,Mingolo Mango - 672861,FP1639,Inventory,,,1-Ea,,,,,,
Apple Sunrise Magic Per lb, - 672869,FP1640,Inventory,,,40-lb,,,,,,
Mango Tommy 12CT,Mango 12 CT - 672884,FP1641,Inventory,,,1-Ea,,,,,,
Mango Atulfo Organic 16CT, - 672885,FP1642,Inventory,,,1-Ea,,,,,,
Onion Green 2 For 1, - ,FP1643,Inventory,,,48-Ea,,,,,,
Mango Atulfo Box 20ct, - 672888,FP1644,Inventory,,,1-Ea,,,,,,
Tomato Cherry Per lb , - 672905,FP1645,Inventory,,,20-Lb,,,,,,
Mango Alphonso Mini Box , - 672912,FP1646,Inventory,,,1-Ea,,,,,,
Mango Langda Box, - 672913,FP1647,Inventory,,,1-Ea,,,,,,
Mango Himayat Box, - 672914,FP1648,Inventory,,,1-Ea,,,,,,
Mango ZZ banganpalli Box,Banganpalli Mango - 672915,FP1649,Inventory,,,1-Ea,,,,,,
Mango ZZ Kesar Box,Kesar Mango - 672973,FP1650,Inventory,,,1-Ea,,,,,,
Apni Mandi Cut Daikon, - ,FP1651,Inventory,,,-,,,,,,
Apni Mandi Cut Fruit Mix, - ,FP1652,Inventory,,,-,,,,,,
Apni Mandi Cut Honeydew Melon, - ,FP1653,Inventory,,,-,,,,,,
Mango Malika Box, - 672978,FP1654,Inventory,,,1-Ea,,,,,,
Coconut Pooja Ea, - ,FP1655,Inventory,,,20-Ea,,,,,,
Mango Payari Box, - ,FP1656,Inventory,,,1-Ea,,,,,,
Mango Zz Himayat Box, - ,FP1657,Inventory,,,1-Ea,,,,,,
Desi papdi per lb, - ,FP1658,Inventory,,,20-Lb,,,,,,
Ponnagani Keerai Leaves, - ,FP1659,Inventory,,,24-Ea,,,,,,
Manathakali Leaves , - ,FP1660,Inventory,,,24-Ea,,,,,,
bachalikura Leaves per lb , - ,FP1661,Inventory,,,30-lb,,,,,,
Mango Atulfo Organic 14ct, - ,FP1662,Inventory,,,1-ea,,,,,,
Mango Manila 14ct, - ,FP1663,Inventory,,,1-ea,,,,,,
Mango Kent 7ct, - ,FP1664,Inventory,,,1-ea,,,,,,
Mango Atulfo 12ct, - ,FP1665,Inventory,,,1-ea,,,,,,
Mango Atulfo 14ct, - ,FP1666,Inventory,,,1-ea,,,,,,
Mango Columbia Box, - ,FP1667,Inventory,,,1-,,,,,,
Mango Atulfo Organic 18ct, - ,FP1668,Inventory,,,1-ea,,,,,,
Guamuchil Per Lb, - ,FP1669,Inventory,,,30-Lb,,,,,,
Mango Tommy 10CT, - ,FP1670,Inventory,,,1-Ea,,,,,,
Mango ZZ Langra Box, - ,FP1671,Inventory,,,1-Ea,,,,,,
Mango ZZ Dasehri Box, - ,FP1672,Inventory,,,1-Ea,,,,,,
Mango Atulfo 10CT Box, - ,FP1673,Inventory,,,1-Ea,,,,,,